,review_text
0,Hàng như giẻ lau. vải đểu may thì ẩu . rẻ nhưng là giẻ lau ko phải để mặc. mất tiền học ngu . Rõ chán
1,mnskjnjkdnkcsn. Hôm nay tôi đi học !
2,"Giao hàng nhanh, đóng gói cẩn thận , shipper đẹp trai, hàng chất lượng đúng với giá , OK rất tốttttttttt"
3,"Thiếu hàng, đặt 3 cái gửi tiền 3 nhưng chỉ nhận đc 1, bao gửi video nhưng gửi xong không check? Lừa đảo à? "
4,"Dạ áo đẹp lắm luôn ý, vì giá nó rẻ nên ko thể đòi hỏi nhiều được. Nói chung rất ưng ý luôn"
5,cũng được thôi không ưng lắm nhưng mà chất liệu vải tốt với giá như vậy thì okela rồi 
6,"Khá ổn ạ ! Nói chung mn cũng nên mua thử nhaaaa , cảm ơn shop rất nhìu !! "
7,"Áo cũng xinh dễ phối đồ, giống mẫu mà hơi mỏng nha mn, "
8,siêu xinh luôn chất liệu thì quá tuyệt lần sau ủng hộ tiếp ạ 💋💋
9,"Vải mặc mùa hè mát lắm. Vừa với giá tiền, đẹp, nói chung mọi người nên mua.. Đồ rất là oki nha!!! 🥰🥰"
